dataset_id,normalized_mae,normalized_rmse,stockout_rate,stockout_days,mape,expired_rate,expired_units_total,non_expired_negative_days,avg_non_expired_inventory
D030,1.09135498323069,1.1323459145720554,1.9943019943019942,7,155.3594834223415,82.63368983957218,55629.0,0,0.0
D031,0.060599958125132254,0.07329703182537303,1.1396011396011396,4,5.9112331674325524,75.91836734693878,17112.0,0,0.0
D032,0.17541770375618784,0.1884432924271668,0.5698005698005698,2,17.241930003845358,86.05042557296915,80273.0,0,0.0
D033,0.05070392052347912,0.06274025332123012,1.7094017094017095,6,4.932753972579198,69.00416505916903,175283.0,0,0.0
D034,0.31879360026870657,0.3255782794177397,1.1396011396011396,4,31.575610352181506,70.99460177570705,75884.0,0,0.0
D035,0.09945948026297093,0.11666830685560999,1.9943019943019942,7,9.670264570446102,66.86412865868535,145267.0,0,0.0
D036,0.06180657892911746,0.07397458126430388,0.5698005698005698,2,6.365405741815399,87.09072421195346,38542.0,0,0.0
D037,0.555999258943642,0.6177636548321142,1.4245014245014245,5,72.0346151988352,81.26110382991118,27901.0,0,0.0
D038,0.1794080192100078,0.19012301322186312,0.8547008547008548,3,17.634686090018395,78.63031175373744,48073.0,0,0.0
D039,0.05370722118644049,0.06579236867115182,1.4245014245014245,5,5.292809291582764,71.39657124373282,88289.0,0,0.0
D040,2.216014867315944,2.258517965929556,1.1396011396011396,4,508.6936121427259,88.83975573805012,8438.0,0,0.0
D041,0.04955864956483849,0.06534332046972952,1.1396011396011396,4,4.917926100188638,73.88584161810078,17242.0,0,0.0
D042,0.047987948746689074,0.05962864056977363,1.4245014245014245,5,4.865589044517238,71.15278311102485,168620.0,0,0.0
D043,2.249733325951862,2.344827017295378,1.4245014245014245,5,574.5952595692386,89.97744392901221,21142.0,0,0.0
D044,0.3148340977422096,0.33952203033809364,1.1396011396011396,4,35.19494945700744,79.79134127722303,90935.0,0,0.0
D045,0.06413646932902821,0.07783922475277094,1.4245014245014245,5,6.137054425488773,71.22427664727013,186171.0,0,0.0
D046,0.042878860735264306,0.05427415500216099,0.8547008547008548,3,4.281729157377505,80.43374603331196,48919.0,0,0.0
D047,0.060968571167308735,0.07652024692346042,1.9943019943019942,7,6.063786450302365,67.70593314647469,146626.0,0,0.0
D048,0.8794589147486389,0.9023433261745779,1.1396011396011396,4,113.30985542657864,85.03553886160068,73577.0,0,0.0
D049,0.20740986733019354,0.2369591763184483,1.9943019943019942,7,23.04617071417592,73.99063347300961,75045.0,0,0.0
D050,0.403472955860483,0.47516704824304296,1.9943019943019942,7,50.35157029567006,78.46822079112215,62507.0,0,0.0
D051,0.217212153065247,0.2534477537511209,1.7094017094017095,6,25.684954320327925,74.03119502465373,119513.0,0,0.0
D052,0.18321530185345442,0.22159878086993096,1.4245014245014245,5,17.292102363869162,67.06743155508227,117144.0,0,0.0
D053,0.06983116689930048,0.08881299752112583,0.8547008547008548,3,6.84729079978804,80.32566477442485,21508.0,0,0.0
D054,0.20968633390467661,0.24173630488511735,0.8547008547008548,3,23.813899078683782,83.7826437090156,21848.0,0,0.0
D055,0.15788157692805213,0.17341730470198244,1.1396011396011396,4,15.43565023009759,72.15634213484061,88595.0,0,0.0
D056,0.39766121894155887,0.40150341919112614,0.8547008547008548,3,39.65446522727244,76.86485396430612,114348.0,0,0.0
D057,0.9385134726100735,0.9825942606417349,1.1396011396011396,4,141.40902515619905,85.24534161490683,27449.0,0,0.0
D058,0.057844839873078376,0.07004426612761386,0.8547008547008548,3,5.645231326643021,80.61958997722095,26544.0,0,0.0
D059,0.0480685296337905,0.061356358573988815,1.7094017094017095,6,4.894007671334707,69.42092757194402,78883.0,0,0.0
D060,0.06905255973909502,0.08400785223704982,0.5698005698005698,2,7.006684567763681,87.98299845440495,38709.0,0,0.0
D061,0.2959305443894614,0.3013106521248097,1.4245014245014245,5,29.692502130752363,77.65467253429976,44997.0,0,0.0
D062,0.1757719577805749,0.21915805564716892,0.8547008547008548,3,16.688350097398658,80.2398728051984,46430.0,0,0.0
D063,0.05862501572001555,0.08503296335926488,0.5698005698005698,2,5.6335854566387304,86.93521671114382,37789.0,0,0.0
D064,0.06582252869291587,0.09847900082064295,0.8547008547008548,3,6.344896406350471,80.54897010375936,52323.0,0,0.0
D065,0.21048053307825046,0.21584351683406505,1.9943019943019942,7,20.877339081707387,62.51566467697786,151653.0,0,0.0
D066,0.23390712253922416,0.24056928894562848,1.4245014245014245,5,23.235255018351715,66.33080426680223,224419.0,0,0.0
D067,,,0.8547008547008548,3,,100.0,7987.0,0,0.0
D068,0.04679984898419652,0.06895758934645717,1.1396011396011396,4,4.71104101458981,73.96979115180659,88297.0,0,0.0
D069,0.18967677696287724,0.2050434194871832,1.4245014245014245,5,18.70604059217197,68.35973947151489,75463.0,0,0.0
D070,0.17013244353455986,0.17924172080105094,1.4245014245014245,5,16.786209540554438,67.8795895696913,185762.0,0,0.0
D071,0.06330991825186943,0.07571376091200116,0.5698005698005698,2,6.307033910749034,86.80186808265627,81408.0,0,0.0
D072,0.18712955017704658,0.19924687312675554,0.5698005698005698,2,18.348374774845762,85.67804530686723,96255.0,0,0.0
